Train: epoch 0   loss 0.6064606816149675         accuracy 0.7019230723381042
Test: epoch 0    loss 0.5079530232482486         accuracy 0.7884259819984436
Train: epoch 1   loss 0.5088716518993561         accuracy 0.739182710647583
Test: epoch 1    loss 0.3592885037263234         accuracy 0.873688280582428
Train: epoch 2   loss 0.33272570242675453        accuracy 0.8656851053237915
Test: epoch 2    loss 0.24723499764998755        accuracy 0.9081017971038818
Train: epoch 3   loss 0.2912010228118071         accuracy 0.8843148946762085
Test: epoch 3    loss 0.22938836448722416        accuracy 0.9114197492599487
Train: epoch 4   loss 0.27255508590203065        accuracy 0.8888221383094788
Test: epoch 4    loss 0.22449484152926338        accuracy 0.9107252955436707
Train: epoch 5   loss 0.27023591495190674        accuracy 0.8948317170143127
Test: epoch 5    loss 0.21928747279776467        accuracy 0.9161264896392822
Train: epoch 6   loss 0.2599360950004596         accuracy 0.9008413553237915
Test: epoch 6    loss 0.21976098898384305        accuracy 0.9161264896392822
Train: epoch 7   loss 0.2553363546657448         accuracy 0.9002403616905212
Test: epoch 7    loss 0.21105888088544209        accuracy 0.9195986986160278
Train: epoch 8   loss 0.25193191294629985        accuracy 0.9002403616905212
Test: epoch 8    loss 0.2150060459971428         accuracy 0.9215278029441833
Train: epoch 9   loss 0.2372148475394799         accuracy 0.9077523946762085
Test: epoch 9    loss 0.20529689176215066        accuracy 0.9222221970558167
Train: epoch 10  loss 0.23331534368200943        accuracy 0.9098557829856873
Test: epoch 10   loss 0.22550662946369912        accuracy 0.9115740656852722
Train: epoch 11  loss 0.23286695491809112        accuracy 0.9074519276618958
Test: epoch 11   loss 0.20340348283449808        accuracy 0.925000011920929
Train: epoch 12  loss 0.22066579039136952        accuracy 0.9128605723381042
Test: epoch 12   loss 0.20091038876109654        accuracy 0.9243055582046509
Train: epoch 13  loss 0.21791087599614492        accuracy 0.9146634340286255
Test: epoch 13   loss 0.22232265306843652        accuracy 0.9215278029441833
Train: epoch 14  loss 0.20468007275261557        accuracy 0.9185696840286255
Test: epoch 14   loss 0.18945537209510804        accuracy 0.9277777671813965
Train: epoch 15  loss 0.2009509912190529         accuracy 0.9176682829856873
Test: epoch 15   loss 0.18880440990130107        accuracy 0.9291666746139526
Train: epoch 16  loss 0.19009508274925443        accuracy 0.9236778616905212
Test: epoch 16   loss 0.20380013469192718        accuracy 0.9298611283302307
Train: epoch 17  loss 0.18444450701085421        accuracy 0.9269831776618958
Test: epoch 17   loss 0.1787288925713963         accuracy 0.9237654209136963
Train: epoch 18  loss 0.1670392335822376         accuracy 0.9387019276618958
Test: epoch 18   loss 0.1791434743338161         accuracy 0.9375
Train: epoch 19  loss 0.15711692530805102        accuracy 0.9417067170143127
Test: epoch 19   loss 0.16675984313090642        accuracy 0.933487594127655
Train: epoch 20  loss 0.14952592234700346        accuracy 0.9417067170143127
Test: epoch 20   loss 0.16179289759861099        accuracy 0.9327932000160217
Train: epoch 21  loss 0.14277280806205594        accuracy 0.944411039352417
Test: epoch 21   loss 0.1670498481227292         accuracy 0.9388889074325562
Train: epoch 22  loss 0.13340101131381324        accuracy 0.9504206776618958
Test: epoch 22   loss 0.18446951342953577        accuracy 0.9305555820465088
Train: epoch 23  loss 0.12578650440375966        accuracy 0.954026460647583
Test: epoch 23   loss 0.1498028593758742         accuracy 0.9432098269462585
Train: epoch 24  loss 0.1196333563600022         accuracy 0.9552283883094788
Test: epoch 24   loss 0.1633017759356234         accuracy 0.9388889074325562
Train: epoch 25  loss 0.11396555443151066        accuracy 0.9558293223381042
Test: epoch 25   loss 0.13818255994055006        accuracy 0.9452931880950928
Train: epoch 26  loss 0.10673096118709789        accuracy 0.957932710647583
Test: epoch 26   loss 0.14276117848025427        accuracy 0.9486111402511597
Train: epoch 27  loss 0.10305335489997211        accuracy 0.9567307829856873
Test: epoch 27   loss 0.1594457702504264         accuracy 0.9409722089767456
Train: epoch 28  loss 0.09596593025176284        accuracy 0.9645432829856873
Test: epoch 28   loss 0.13152925674286153        accuracy 0.949999988079071
Train: epoch 29  loss 0.10077890631957696        accuracy 0.9630408883094788
Test: epoch 29   loss 0.1761794836156898         accuracy 0.9361110925674438
Train: epoch 30  loss 0.08945515259312323        accuracy 0.967848539352417
Test: epoch 30   loss 0.12814467611412209        accuracy 0.952237606048584
Train: epoch 31  loss 0.0875821924284817         accuracy 0.9663461446762085
Test: epoch 31   loss 0.139040328686436  accuracy 0.9423611164093018
Train: epoch 32  loss 0.08191968669416383        accuracy 0.9681490659713745
Test: epoch 32   loss 0.1618995708723863         accuracy 0.9388889074325562
Train: epoch 33  loss 0.07816504111262755        accuracy 0.9714543223381042
Test: epoch 33   loss 0.1256117381155491         accuracy 0.9506944417953491
Train: epoch 34  loss 0.07796705395090751        accuracy 0.9690504670143127
Test: epoch 34   loss 0.15116579996214974        accuracy 0.9375
Train: epoch 35  loss 0.07777777250157669        accuracy 0.9690504670143127
Test: epoch 35   loss 0.13678348946074645        accuracy 0.949999988079071
Train: epoch 36  loss 0.07545449403942957        accuracy 0.9747596383094788
Test: epoch 36   loss 0.12429485585954454        accuracy 0.9520833492279053
Train: epoch 37  loss 0.07224278065572995        accuracy 0.9750601053237915
Test: epoch 37   loss 0.14004290882084106        accuracy 0.9444444179534912
Train: epoch 38  loss 0.06981010803093131        accuracy 0.9750601053237915
Test: epoch 38   loss 0.20961008734173245        accuracy 0.9194444417953491
Train: epoch 39  loss 0.06728560741444548        accuracy 0.9768629670143127
Test: epoch 39   loss 0.1292686380032036         accuracy 0.9513888955116272
